kernel_size,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
1,0.34507045012514054,0.30844843919316733,0.12035569798044451,0.15420352731045017,0.15419684413088786,0.47877966681000256,0.06394075761274333,80656.85177483875,0.31865694160693264,0.5644970696176665,0.5645004149473839,61062.96626134261,0.2412459406251807,-1.7569345794733326,-1.7571453059565147,0.27243623756066027,1.0508587697620386,63987.8023019317,2.4451756774019526,1.563705751540856,1.5637953904386646,32286.91981965374,1.233785005909807
3,0.3832235190223574,0.3294298834250169,0.14080193545672906,0.18644297637328056,0.18643654793825082,0.5710207940669911,-0.09431698078775007,77582.4331075531,0.3065106102267866,0.5536340038570486,0.5536372848099276,72757.4891695242,0.2874483502341789,-0.5139019353574346,-0.5140176505554286,0.40167836796778794,0.5866956686616954,35137.307379513644,1.3427073017506839,1.158752476480928,1.1588189015706374,22722.76819720151,0.8683086169590549
5,0.3880772746546915,0.3292325530217976,0.18189048208759365,0.11062769931547267,0.11062067181538826,0.5948031129284774,-0.1798439763366351,84812.33032440385,0.335074295574754,0.5788560231825821,0.5788594536065128,82762.02487390624,0.32697400341309774,-0.08490625809203034,-0.08498918297608538,0.48455225111023814,0.38222775186117797,25180.41874326386,0.9622231932157843,0.9809297595729188,0.9809859910361525,19109.995957485182,0.7302531987269357
7,0.3783597377446896,0.3150241537975282,0.19576773386885776,0.024341946750022325,0.0243342374509512,0.5922679772954941,-0.23903705061680794,93040.71313241324,0.36758277120049476,0.6062860473411001,0.6062896403211891,92655.68005770967,0.3660615927847408,0.08020298478502552,0.08013268003724483,0.5150629088720223,0.2994399713875747,21348.272101083778,0.8157847873852183,0.9032080532110076,0.9032598293039855,17717.96689779942,0.6770593793343047
9,0.36832268816988295,0.3011976169272147,0.20908899776729606,-0.07295912016713912,-0.0729675983042497,0.584637164019345,-0.28318673912953335,102319.53845893253,0.4042413071486578,0.6357997382420488,0.6358035061265485,100731.7392612633,0.3979682723713067,0.1568930519588254,0.15682860902157547,0.5320231301985725,0.24204344693984764,19568.313703312622,0.7477669648558456,0.8647351992696062,0.86478476991938,17032.640526132396,0.6508708978613014
11,0.37574737881442505,0.3108515626352173,0.20111031923471154,-0.005728597618200215,-0.005736544523899045,0.5945515026505651,-0.26127311749326326,95908.3006882992,0.37891195973489994,0.6155582504807323,0.6155618984098695,95857.642738826,0.37871182165745215,0.15743435468245393,0.1573699531197147,0.5345819041516537,0.26103711671089047,19555.750194579785,0.7472868735748323,0.8644575603086784,0.8645071150428936,17077.008861551265,0.6525663518495649
13,0.36067118100672296,0.2903037686465002,0.22252444779574757,-0.1679987548900983,-0.1680079839962243,0.5774770466860936,-0.32631693240972165,111382.70906569714,0.44004784017421783,0.6633610179790623,0.6633649491975686,109088.19616083868,0.43098273970661033,0.25133513743256986,0.25127791318258375,0.5618564481458593,0.19352401864308597,17376.335141590316,0.6640045527758155,0.814864745080934,0.8149114569239647,16192.223664504781,0.6187559197716681
15,0.3489341879316232,0.27461436139923295,0.22813243447156495,-0.2328534549621939,-0.23286319652683685,0.5767686984450384,-0.36748186795872306,117567.38362928784,0.4644820877043551,0.6815292273295072,0.681533266216687,117187.27139838712,0.46298035042722524,0.2796514057084848,0.2795963458144016,0.5716144522363061,0.16875008107753894,16719.121223691083,0.6388903367989256,0.7993061596152788,0.7993519795677149,15906.396570045936,0.6078335652889272
17,0.34233736880953053,0.26591592362134825,0.2447468321189344,-0.2548186290047523,-0.25482854413030154,0.5792100673243348,-0.38910740067461236,119662.02677827855,0.47275754806423387,0.6875736673726197,0.6875777420804369,121830.74344629316,0.4813256561100415,0.31652886665026925,0.31647662548743594,0.5964996823195748,0.16893077551825364,15863.2040402695,0.6061830425415377,0.7785775764440803,0.7786222081375701,15471.695598150542,0.5912222705548756
19,0.33938494394555535,0.26201582714340194,0.244269097179477,-0.2719277483646281,-0.2719377986802858,0.5802654597154743,-0.40103836312785746,121293.58679155303,0.4792034719062601,0.6922452397136871,0.6922493421062358,124232.07822986806,0.49081278561076214,0.30679847373494873,0.3067454888288671,0.587931695347613,0.16132753287258358,16089.044168222235,0.6148131058971392,0.7841001886858204,0.7841451369611696,15551.976138032616,0.5942900431056829
