expand,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
0,0.018669141351713187,0.016789949534400453,-0.013895080158643443,-0.04951500045896795,-0.04952329334907546,0.3941327107155486,0.17626628875762418,100083.86007842702,0.39540864855274094,0.6288152737909131,0.6288190002839905,46066.409551207624,0.1819979438247738,-3.3109168639701005,-3.311246369195506,0.1605043427641307,1.718419716639844,100055.3651456168,3.823430973503642,1.955359550953134,1.955471641271146,44969.32556474808,1.718419716639844
1,0.3699552037775301,0.33636402599047954,0.07005543351607256,0.28698192175392034,0.2869762877414812,0.5446503238607848,0.060301446068213624,67994.83718228246,0.26863219162152563,0.5182973968886257,0.5183004684292547,46454.241275914814,0.18353017907241695,-1.5784564961370564,-1.5786535806357294,0.24689214117878566,1.1067755012772653,59845.36802119845,2.286880202575507,1.512243433636102,1.5123301224741241,31097.190822455195,1.1883217097502845
2,0.4087965523125084,0.3589200886235464,0.15829498534014833,0.3130888416068729,0.31308341388192584,0.6177734078019692,-0.09062874528369093,65505.22882747263,0.25879631324683494,0.5087202701355972,0.5087232849201357,62136.97619526125,0.2454891104646554,-0.3881194889728312,-0.38822558998093126,0.4131261983571816,0.584406568336373,32217.926422041175,1.2311485506531077,1.1095713364417394,1.1096349422394036,21585.209646249717,0.8248389180423293
3,0.3967779936570167,0.33865363712023117,0.2004950738413756,0.15827463111609474,0.1582679801049306,0.6134470423267208,-0.1925286908422443,80268.62313259156,0.3171231382280448,0.5631368734402363,0.5631402107091419,78864.88325531252,0.3115772801110662,0.02832596820805877,0.02825169823696716,0.49587072798534176,0.35135957547081,22552.325438241707,0.8617954617387636,0.9283293929089844,0.9283826090741754,18018.79571626955,0.6885549969914613
4,0.3724544103193266,0.30614467782608473,0.22746862355308398,-0.0562640540977104,-0.056272400316412785,0.5880842796221365,-0.28569917795976024,100727.46339972584,0.3979513794114368,0.6308338762395665,0.6308376146953116,98375.07058517884,0.38865760853832776,0.19373531729377846,0.19367369039759974,0.5416028152197427,0.2406999926129603,18713.213401636676,0.7150908862255598,0.8456304667084552,0.8456789421859642,16587.00095076454,0.6338416045995087
5,0.35627606456359123,0.28465605767974345,0.22415034530557387,-0.18942623394435554,-0.18943563236271532,0.5727568056559356,-0.3356926334153992,113426.07653978067,0.448120721963458,0.6694181966181215,0.6694221637327569,110104.20102956622,0.43499674467955757,0.2284496099240947,0.228390636417248,0.5472407131981617,0.1961715506646798,17907.502845275096,0.6843021454879856,0.8272255711037865,0.8272729915269447,16372.475898154675,0.6256439259488201
6,0.3472330048146095,0.2717106203623517,0.24038580553743494,-0.28251704961068813,-0.28252718359919604,0.5738136246314524,-0.37789985729750086,122303.40384397477,0.48319303021936577,0.6951208745386415,0.6951249939728139,118695.29197351336,0.46893819794762603,0.3001109223453965,0.30005742627586696,0.5756893938265529,0.13340839441376268,16244.260660983746,0.6207444174780751,0.7878733511663376,0.7879185157369365,15694.8150643195,0.5997483688455616
7,0.350177008476236,0.27553163533062236,0.24412800168864965,-0.2870644875936055,-0.28707465751433303,0.5721727835504983,-0.36836113745779836,122737.05667085218,0.4849062942569669,0.6963521338065727,0.6963562605374494,117889.59637982638,0.4657550772566872,0.320639279416448,0.3205873524332955,0.5905806560973016,0.12925259164429015,15767.802328012844,0.6025374423177364,0.7762328531553766,0.7762773504384053,15539.119305860022,0.5937987430111973
8,0.33328417249623665,0.25282730416766735,0.25946310143298035,-0.38563308592004075,-0.385644034694385,0.5713073003801973,-0.4216486819433822,132136.75634042834,0.5220423773400563,0.7225250011868491,0.7225292830237056,129951.92091251098,0.5134105877269659,0.3377910321419898,0.3377404161542302,0.5989045952976226,0.10128026157801678,15369.714186674753,0.5873252392783351,0.7663714760338717,0.766415408016827,15287.782917775463,0.5841943871670856
9,0.32776114890691055,0.24523999509181693,0.25690522665982285,-0.4502792773530615,-0.4502907369383624,0.5594511315725237,-0.44182793816764965,138301.5471010728,0.5463980684711408,0.7391874379825057,0.7391918185645071,135735.4200416034,0.536259882036242,0.32923641277564375,0.3291851429149677,0.593151162491126,0.11057023679188512,15568.264887462912,0.594912487579308,0.7713057030641665,0.7713499179,15351.829086875005,0.5866417932238528
10,0.32305595069980675,0.2386828249000279,0.2517851533140013,-0.5041662207042337,-0.5041781060847823,0.5491900366902047,-0.4568628948174057,143440.31433742354,0.5667001731917253,0.7527949077881207,0.752799369010883,140360.84229114006,0.554533877056437,0.32235497729685014,0.3223031814531826,0.591112280037541,0.12274859123768692,15727.981384273886,0.6010157585033393,0.7752520612699713,0.7752965023294403,15389.851998163958,0.5880947685491978
11,0.3200301258146442,0.2340154482702272,0.2604480862652124,-0.5514359304753389,-0.551448189364135,0.5501910906839268,-0.4724237787599434,147948.0488782394,0.5845092107470494,0.764532020746711,0.7645365515261013,144855.36958048277,0.5722907357544309,0.34731839494850814,0.3472685071853765,0.6041693291949627,0.09643726454216614,15148.586339731357,0.5788752470377683,0.7608385157428403,0.7608821305507377,15131.920174532079,0.5782383803176308
12,0.3124903132474875,0.22322294252755798,0.2590038094371557,-0.6220679841352603,-0.6220808011331438,0.5414013912732096,-0.4941712048202786,154683.66349305064,0.6111200975566468,0.7817417076993185,0.7817463404669747,150798.3277017291,0.5957700164025408,0.34110830877722575,0.3410579463457327,0.6007505376244565,0.09871065138108379,15292.720977224933,0.5843830859881896,0.764449531354549,0.7644933531626823,15205.828897784862,0.5810626656649036
13,0.3045218010352576,0.21121821300166513,0.25806632006189206,-0.7484335616058537,-0.7484473770990869,0.5250761003697647,-0.5235832286654912,166734.13896864088,0.6587287950877699,0.811621090834738,0.8116259006739747,159109.47842153412,0.6286054892895883,0.32680511894507724,0.326753663248291,0.5887639445609373,0.08825946015966192,15624.694644674686,0.5970688465235464,0.7727023013577392,0.7727465962530926,15394.825149409542,0.5882848083384746
14,0.3029012243995207,0.20918874160441914,0.2517474996004254,-0.7192693399610777,-0.7192829250091193,0.5287036000097649,-0.5142389455020555,163952.98016946635,0.6477410669832541,0.8048236247671002,0.8048283943231069,158937.55075202626,0.6279262420323816,0.32971805760064743,0.32966682455452667,0.5915194053949965,0.08760527303284471,15557.086024507129,0.5944853079791788,0.7710287335626207,0.7710729325212723,15403.852440340763,0.5886297695877092
15,0.3207251127263277,0.23540543392276914,0.24782769810913358,-0.6019002401247959,-0.6019128977644188,0.5182888533721084,-0.43616482301633996,152760.42688494117,0.6035218255928775,0.7768666716965514,0.7768712755737072,147486.65591011642,0.5826863516983047,0.3174882536800271,0.317436085848007,0.5910822526054872,0.13517076519273413,15840.93689325474,0.6053321446465184,0.7780309406742886,0.7780755410320698,15458.302026895282,0.5907104599677206
