mag_d,depth_d,cross_d,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
0,1,0,0.2731482862996974,0.16349491717762615,0.15646179621979636,-1.0496984443097173,-1.0497146402897126,0.4541754455102289,-0.5951557748108921,195463.36375713782,0.7722314511472564,0.8787670061781202,0.8787722139383349,179213.89499670945,0.7080334827912588,0.08695998995932319,0.08689020168369521,0.4231542878199229,0.162143882484972,21191.443602335567,0.8097918759729286,0.8998843681123306,0.899935953676196,17908.539177449402,0.6843417470078873
1,1,0,0.3482618497103095,0.27415468438214097,0.2928455866738466,-0.15307040353790136,-0.15308407031338955,0.6087811778232307,-0.3667318922060695,109959.11147321048,0.4344235287249293,0.6591081312841841,0.6591133393196095,123759.3187469015,0.48894502003793333,0.3477959823248217,0.3477212025788624,0.6245307227859754,0.15501499506140373,15137.50164920403,0.5784516660630529,0.7605601002307791,0.7606182336941547,14759.528709443997,0.5640081282985211
2,1,0,0.37800529956301204,0.31190585504941215,0.3727057799916103,-0.002404755012423987,-0.0024205964213768194,0.6949253265218562,-0.38846480106137166,95591.33237614528,0.3776596897700463,0.6145402263237504,0.614546296186571,116522.06379143313,0.4603522659322171,0.5431838672134837,0.5431140283306237,0.7405725934274676,0.053889684304602545,10602.594856879508,0.40515857911572883,0.6365206823943185,0.6365814997650532,12530.619239042057,0.47883446975589655
3,1,0,0.3958948404543549,0.3340191159731923,0.3822841160313026,0.06397493034868629,0.06395643979580878,0.6890574268377097,-0.3318879135644107,89261.23215001427,0.35265089840591934,0.5938441701371828,0.5938512086935069,108739.18715529186,0.42960388422373963,0.5331184193496405,0.5330291938058095,0.7344379545545425,0.054028361898812716,10836.211531278372,0.41408580883023316,0.6434949951866239,0.6435687777925175,12578.669640003143,0.4806706270779603
4,1,0,0.4202493272342854,0.363880968713503,0.38631965358536074,0.1837075504427349,0.18368819998878894,0.7182240219921225,-0.30202069668449794,77843.28882278404,0.30754119203833846,0.5545639656868615,0.5545716341938234,95199.44622228113,0.37611143639168415,0.5750809944499121,0.5749835434127857,0.7640245111377785,0.06825709458459683,9862.270045837198,0.3768684338659176,0.613896109994124,0.6139782326407092,12046.107771867839,0.4603197589463808
5,1,0,0.39776056584557734,0.33647937451027377,0.37940594791841803,0.07721743499383904,0.07719191425377636,0.715552497360946,-0.3730909645639565,87998.40028823935,0.3476617359233524,0.5896284727888846,0.5896377909636287,110093.59046198665,0.43495482473178854,0.5570496531898013,0.5569311312515087,0.7505664098942261,0.05870524141785161,10280.773229910254,0.39286076005618303,0.6267860560479812,0.6268818839055985,12265.271840805894,0.4686947090376359
6,1,0,0.4072700062233523,0.3480768118086317,0.3909217045217865,0.12345927676173774,0.12343157166669494,0.7177072765647868,-0.34295461990699444,83588.68530631985,0.3302399514304559,0.5746650776151757,0.5746752945593072,102192.58855560189,0.40373975685203123,0.5816169367443674,0.5814889908534635,0.7661607733133697,0.05343481578386803,9710.57236446741,0.3710715871629566,0.6091564554061268,0.6092612324826245,12002.354552060753,0.45864781046508285
7,1,0,0.40309585826230887,0.34309332232066964,0.3902993103248863,0.11135727390426031,0.11132567522175751,0.7248176799352383,-0.3626897821527109,84742.75662510037,0.3347994256567188,0.5786185493541655,0.5786299796466184,105985.74315622592,0.4187256510132782,0.5784272364136924,0.5782821943680378,0.7646198310249493,0.0518253148714124,9784.60455793386,0.3739005906963912,0.6114741128587466,0.6115909781222908,12013.360267980133,0.45906837357102426
8,1,0,0.41407752749918947,0.35655843732690834,0.3879608396456836,0.1514438050549367,0.15141027906581983,0.7286597044537529,-0.34823672977028797,80920.02443645996,0.3196966771485687,0.5654172593302832,0.5654295458257113,102498.58844314169,0.4049486930570756,0.5744385729359336,0.5742758841114577,0.7640115323580436,0.07398814465802858,9877.18049787953,0.3774382092506221,0.614359999715657,0.6144891619161204,12086.961031245992,0.4618808907962089
9,1,0,0.41713024469374044,0.3601484652819959,0.3889715241624451,0.15881581969372072,0.15877926135192555,0.7294258529576227,-0.3419561180711998,80217.01430198664,0.3169192434347496,0.5629558094866324,0.5629691546260499,100995.00994031134,0.3990083951575819,0.5760922491645623,0.575913980048869,0.7647831536363086,0.06499854384987767,9838.799062071534,0.3759715335729884,0.6131651764190367,0.613305810635661,12035.482811670841,0.459913745717102
10,1,0,0.4190555646002368,0.36296668590852743,0.37680926064830605,0.20352300258229916,0.20348524024154724,0.7175874969653502,-0.29988063583044283,75953.64747562812,0.3000756473366972,0.5477916094069872,0.5478056772521296,96214.77265091173,0.3801227610015674,0.5598727656073269,0.5596708415052962,0.7602203368943737,0.11453338667904403,10215.249455572755,0.3903568900444325,0.6247854752188406,0.6249407207114139,12213.257078431929,0.46670706096648434
11,1,0,0.40628626844977356,0.34710215216421675,0.38158782674037195,0.1280831212884943,0.12803833711370538,0.712940923478714,-0.33507739254514907,83147.74619784068,0.3284979009455808,0.573147364074529,0.5731632153594698,103743.97385932534,0.40986892858710605,0.56529705410854,0.5650809907058794,0.7588235551736369,0.07315281684645189,10089.352996937592,0.38554598941257184,0.6209234972301917,0.621089656014465,12174.63598385064,0.46523122717148685
