mag_d,depth_d,cross_d,mcc_without_mask,mcc_with_mask,mcc_without_t-mask,r2,adj_r2,pcc,me,rss,mse,rmse,rse,l1_loss,mae,r2-t,adj_r2-t,pcc-t,me-t,rss-t,mse-t,rmse-t,rse-t,l1_loss-t,mae-t
1,1,0,0.3482618497103095,0.27415468438214097,0.2928455866738466,-0.15307040353790136,-0.15308407031338955,0.6087811778232307,-0.3667318922060695,109959.11147321048,0.4344235287249293,0.6591081312841841,0.6591133393196095,123759.3187469015,0.48894502003793333,0.3477959823248217,0.3477212025788624,0.6245307227859754,0.15501499506140373,15137.50164920403,0.5784516660630529,0.7605601002307791,0.7606182336941547,14759.528709443997,0.5640081282985211
2,2,0,0.37665521044281064,0.3105564348466867,0.34989828835677345,0.005255192114297147,0.005235541592034321,0.6988287429213732,-0.40074201717344443,94860.86442084718,0.3747737764290824,0.6121876970579222,0.6121949530314644,118443.9692389138,0.4679452787820311,0.504385228358931,0.5042905116269734,0.7189867723603601,0.09192359256727656,11503.10212719824,0.43956980118454053,0.6630006042112937,0.6630766233142451,13027.230564505799,0.49781155430111196
3,3,0,0.39903476890954176,0.33803533823278786,0.38342146831835383,0.08632849570858314,0.08630322694663639,0.7157330087804147,-0.369316658965556,87129.5512242962,0.3442291101842886,0.5867104142456384,0.5867196863049374,108404.5039259694,0.4282816266359931,0.5625643842607784,0.5624473379204178,0.7539681766373355,0.06376930928489287,10152.777620531237,0.3879696442558461,0.6228720930141646,0.6229673224751061,12272.54678729642,0.4689727076807069
4,4,0,0.4094365447104389,0.3507380513063984,0.3864278806279338,0.12606305805285278,0.12603198228399193,0.7201714683558721,-0.3487641121780765,83340.38348852973,0.32925896722252623,0.5738109159144031,0.5738222512346913,103871.84349912487,0.4103741125540757,0.5673394352189746,0.5671905784169933,0.7580800176611775,0.06217420613755086,10041.949812367076,0.38373456426944386,0.6194631258351411,0.6195815179631711,12175.424148826865,0.4652613454402868
5,5,0,0.40900496781500356,0.35049917470056674,0.38003259965867026,0.13782087886901373,0.13778340807517708,0.7207689702770381,-0.34850840160038277,82219.13406105428,0.3248291648501838,0.5699378605165513,0.5699513711688613,103394.71094549917,0.4084890699701684,0.5662220325844592,0.5660396126723297,0.7599830780613018,0.08982692917486351,10067.88446435397,0.3847256090929715,0.6202625323949299,0.620404794445515,12150.182394233183,0.4642967784108366
6,6,0,0.4162271147529849,0.35901865247693365,0.3890092037787143,0.15801644013497662,0.15797319342209026,0.7266350018413207,-0.3373260614841632,80293.24474354537,0.31722041263277706,0.563223235167706,0.563238811985372,100163.6167509151,0.395723749089999,0.5719217780758845,0.5717090074054577,0.7614494807277123,0.06082891648838586,9935.59471384911,0.3796704006209297,0.6161740019028146,0.6163388897247664,12110.175822845305,0.4627680011786964
7,7,0,0.4042482613916555,0.3445270347610605,0.3903669098358253,0.10886616649464109,0.10881335313898755,0.7226801753852448,-0.3636113452544784,84980.31363506343,0.3357379595640852,0.5794289944109504,0.579447308820327,106669.02838657281,0.42142515610126946,0.5770864639774972,0.5768439027783867,0.765061456282734,0.06623464860385372,9815.72357041154,0.3750897462803905,0.6124457088431516,0.612633022594167,12022.21375068118,0.4594066930597722
8,8,0,0.41847719558403546,0.3618140669265669,0.3889075552336568,0.16205302098839636,0.16199673782959478,0.7276231078920631,-0.3383440523479828,79908.30827941342,0.31569961590349616,0.5618715297143076,0.5618915092235917,100654.23735601419,0.3976620799083981,0.573436864181255,0.5731595679666199,0.7626634215461466,0.06797268533177113,9900.429922162515,0.37832664305714836,0.6150826310806934,0.6152942784911256,12054.214675529518,0.4606295492960953
9,9,0,0.40994684971195333,0.3515582036817847,0.3880695498829713,0.13941826613518227,0.13935366172599428,0.7239517365987087,-0.3477375105333126,82066.80400043598,0.3242273433041739,0.5694096445479071,0.5694321419657171,102619.34774619555,0.4054257856950222,0.5840161316692161,0.5837138756174249,0.7695722600532893,0.07329766738978916,9654.887615297865,0.3689436973249977,0.6074073569895229,0.6076395996213133,11943.303006013433,0.45639126470302394
10,10,0,0.40612066702451366,0.3471329130721471,0.3755078577537355,0.14659573778796742,0.14652492788999927,0.7206511426224295,-0.346559195191043,81382.3458761593,0.3215232043780863,0.5670301617886709,0.5670548056794195,103137.20366276175,0.40747171705652274,0.5535646456031602,0.5532060904173901,0.7532806102062174,0.10263617710859825,10361.659435239553,0.395951676993372,0.6292469125815175,0.6295115800643383,12315.863419279476,0.4706279727647016
